isTs	is1stLast	prevCol	del.t	condName
FALSE	e	NA	NA	GSM5604289
FALSE	e	NA	NA	GSM5604290
FALSE	e	NA	NA	GSM5604291
FALSE	e	NA	NA	GSM5604292
FALSE	e	NA	NA	GSM5604293
FALSE	e	NA	NA	GSM5604294
FALSE	e	NA	NA	GSM5604295
FALSE	e	NA	NA	GSM5604296
FALSE	e	NA	NA	GSM5604297
FALSE	e	NA	NA	GSM5604298
FALSE	e	NA	NA	GSM5604299
FALSE	e	NA	NA	GSM5604300
FALSE	e	NA	NA	GSM5604301
FALSE	e	NA	NA	GSM5604302
FALSE	e	NA	NA	GSM5604303
FALSE	e	NA	NA	GSM5604304
FALSE	e	NA	NA	GSM5604305
FALSE	e	NA	NA	GSM5604306
FALSE	e	NA	NA	GSM5604307
FALSE	e	NA	NA	GSM5604308
FALSE	e	NA	NA	GSM5604309
FALSE	e	NA	NA	GSM5604310
FALSE	e	NA	NA	GSM5604311
FALSE	e	NA	NA	GSM5604312
FALSE	e	NA	NA	GSM5604313
FALSE	e	NA	NA	GSM5604314
FALSE	e	NA	NA	GSM5604315
FALSE	e	NA	NA	GSM5604316
FALSE	e	NA	NA	GSM5604317
FALSE	e	NA	NA	GSM5604318
FALSE	e	NA	NA	GSM5604319
FALSE	e	NA	NA	GSM5604320
FALSE	e	NA	NA	GSM5604321
FALSE	e	NA	NA	GSM5604322
FALSE	e	NA	NA	GSM5604323
FALSE	e	NA	NA	GSM5604324
FALSE	e	NA	NA	GSM5604325
FALSE	e	NA	NA	GSM5604326
FALSE	e	NA	NA	GSM5604327
FALSE	e	NA	NA	GSM5604328
FALSE	e	NA	NA	GSM5604329
FALSE	e	NA	NA	GSM5604330
FALSE	e	NA	NA	GSM5604331
FALSE	e	NA	NA	GSM5604332
FALSE	e	NA	NA	GSM5604333
FALSE	e	NA	NA	GSM5604334
FALSE	e	NA	NA	GSM5604335
FALSE	e	NA	NA	GSM5604336
FALSE	e	NA	NA	GSM5604337
FALSE	e	NA	NA	GSM5604338
FALSE	e	NA	NA	GSM5604339
FALSE	e	NA	NA	GSM5604340
FALSE	e	NA	NA	GSM5604341
FALSE	e	NA	NA	GSM5604342
FALSE	e	NA	NA	GSM5604343
FALSE	e	NA	NA	GSM5604344
FALSE	e	NA	NA	GSM5604345
FALSE	e	NA	NA	GSM5604346
FALSE	e	NA	NA	GSM5604347
FALSE	e	NA	NA	GSM5604348
FALSE	e	NA	NA	GSM5604349
FALSE	e	NA	NA	GSM5604350
FALSE	e	NA	NA	GSM5604351
FALSE	e	NA	NA	GSM5604352
FALSE	e	NA	NA	GSM5604353
FALSE	e	NA	NA	GSM5604354
FALSE	e	NA	NA	GSM5604355
FALSE	e	NA	NA	GSM5604356
FALSE	e	NA	NA	GSM5604357
FALSE	e	NA	NA	GSM5604358
FALSE	e	NA	NA	GSM5604359
FALSE	e	NA	NA	GSM5604360
FALSE	e	NA	NA	GSM5604361
FALSE	e	NA	NA	GSM5604362
FALSE	e	NA	NA	GSM5604363
FALSE	e	NA	NA	GSM5604364
FALSE	e	NA	NA	GSM5604365
FALSE	e	NA	NA	GSM5604366
FALSE	e	NA	NA	GSM5604367
FALSE	e	NA	NA	GSM5604368
FALSE	e	NA	NA	GSM5604369
FALSE	e	NA	NA	GSM5604370
FALSE	e	NA	NA	GSM5604371
FALSE	e	NA	NA	GSM5604372
FALSE	e	NA	NA	GSM5604373
FALSE	e	NA	NA	GSM5604374
FALSE	e	NA	NA	GSM5604375
FALSE	e	NA	NA	GSM5604376
FALSE	e	NA	NA	GSM5604377
FALSE	e	NA	NA	GSM5604378
FALSE	e	NA	NA	GSM5604379
FALSE	e	NA	NA	GSM5604380
FALSE	e	NA	NA	GSM5604381
FALSE	e	NA	NA	GSM5604382
FALSE	e	NA	NA	GSM5604383
FALSE	e	NA	NA	GSM5604384
FALSE	e	NA	NA	GSM5604385
FALSE	e	NA	NA	GSM5604386
FALSE	e	NA	NA	GSM5604387
FALSE	e	NA	NA	GSM5604388
FALSE	e	NA	NA	GSM5604389
FALSE	e	NA	NA	GSM5604390
FALSE	e	NA	NA	GSM5604391
FALSE	e	NA	NA	GSM5604392
FALSE	e	NA	NA	GSM5604393
FALSE	e	NA	NA	GSM5604394
FALSE	e	NA	NA	GSM5604395
FALSE	e	NA	NA	GSM5604396
FALSE	e	NA	NA	GSM5604397
FALSE	e	NA	NA	GSM5604398
FALSE	e	NA	NA	GSM5604399
FALSE	e	NA	NA	GSM5604400
FALSE	e	NA	NA	GSM5604401
FALSE	e	NA	NA	GSM5604402
FALSE	e	NA	NA	GSM5604403
FALSE	e	NA	NA	GSM5604404
FALSE	e	NA	NA	GSM5604405
FALSE	e	NA	NA	GSM5604406
FALSE	e	NA	NA	GSM5604407
FALSE	e	NA	NA	GSM5604408
FALSE	e	NA	NA	GSM5604409
FALSE	e	NA	NA	GSM5604410
FALSE	e	NA	NA	GSM5604411
FALSE	e	NA	NA	GSM5604412
FALSE	e	NA	NA	GSM5604413
FALSE	e	NA	NA	GSM5604414
FALSE	e	NA	NA	GSM5604415
FALSE	e	NA	NA	GSM5604416
FALSE	e	NA	NA	GSM5604417
FALSE	e	NA	NA	GSM5604418
FALSE	e	NA	NA	GSM5604419
FALSE	e	NA	NA	GSM5604420
FALSE	e	NA	NA	GSM5604421
FALSE	e	NA	NA	GSM5604422
FALSE	e	NA	NA	GSM5604423
FALSE	e	NA	NA	GSM5604424
FALSE	e	NA	NA	GSM5604425
FALSE	e	NA	NA	GSM5604426
FALSE	e	NA	NA	GSM5604427
FALSE	e	NA	NA	GSM5604428
FALSE	e	NA	NA	GSM5604429
FALSE	e	NA	NA	GSM5604430
FALSE	e	NA	NA	GSM5604431
FALSE	e	NA	NA	GSM5604432
FALSE	e	NA	NA	GSM5604433
FALSE	e	NA	NA	GSM5604434
FALSE	e	NA	NA	GSM5604435
FALSE	e	NA	NA	GSM5604436
FALSE	e	NA	NA	GSM5604437
FALSE	e	NA	NA	GSM5604438
FALSE	e	NA	NA	GSM5604439
FALSE	e	NA	NA	GSM5604440
FALSE	e	NA	NA	GSM5604441
FALSE	e	NA	NA	GSM5604442
FALSE	e	NA	NA	GSM5604443
FALSE	e	NA	NA	GSM5604444
FALSE	e	NA	NA	GSM5604445
FALSE	e	NA	NA	GSM5604446
FALSE	e	NA	NA	GSM5604447
FALSE	e	NA	NA	GSM5604448
FALSE	e	NA	NA	GSM5604449
FALSE	e	NA	NA	GSM5604450
FALSE	e	NA	NA	GSM5604451
FALSE	e	NA	NA	GSM5604452
FALSE	e	NA	NA	GSM5604453
FALSE	e	NA	NA	GSM5604454
FALSE	e	NA	NA	GSM5604455
FALSE	e	NA	NA	GSM5604456
FALSE	e	NA	NA	GSM5604457
FALSE	e	NA	NA	GSM5604458
FALSE	e	NA	NA	GSM5604459
FALSE	e	NA	NA	GSM5604460
FALSE	e	NA	NA	GSM5604461
FALSE	e	NA	NA	GSM5604462
FALSE	e	NA	NA	GSM5604463
FALSE	e	NA	NA	GSM5604464
FALSE	e	NA	NA	GSM5604465
FALSE	e	NA	NA	GSM5604466
FALSE	e	NA	NA	GSM5604467
FALSE	e	NA	NA	GSM5604468
FALSE	e	NA	NA	GSM5604469
FALSE	e	NA	NA	GSM5604470
FALSE	e	NA	NA	GSM5604471
FALSE	e	NA	NA	GSM5604472
FALSE	e	NA	NA	GSM5604473
FALSE	e	NA	NA	GSM5604474
FALSE	e	NA	NA	GSM5604475
FALSE	e	NA	NA	GSM5604476
FALSE	e	NA	NA	GSM5604477
FALSE	e	NA	NA	GSM5604478
FALSE	e	NA	NA	GSM5604479
FALSE	e	NA	NA	GSM5604480
FALSE	e	NA	NA	GSM5604481
FALSE	e	NA	NA	GSM5604482
FALSE	e	NA	NA	GSM5604483
FALSE	e	NA	NA	GSM5604484
FALSE	e	NA	NA	GSM5604485
FALSE	e	NA	NA	GSM5604486
FALSE	e	NA	NA	GSM5604487
FALSE	e	NA	NA	GSM5604488
FALSE	e	NA	NA	GSM5604489
FALSE	e	NA	NA	GSM5604490
FALSE	e	NA	NA	GSM5604491
FALSE	e	NA	NA	GSM5604492
FALSE	e	NA	NA	GSM5604493
FALSE	e	NA	NA	GSM5604494
FALSE	e	NA	NA	GSM5604495
FALSE	e	NA	NA	GSM5604496
FALSE	e	NA	NA	GSM5604497
FALSE	e	NA	NA	GSM5604498
FALSE	e	NA	NA	GSM5604499
FALSE	e	NA	NA	GSM5604500
FALSE	e	NA	NA	GSM5604501
FALSE	e	NA	NA	GSM5604502
FALSE	e	NA	NA	GSM5604503
FALSE	e	NA	NA	GSM5604504
FALSE	e	NA	NA	GSM5604505
FALSE	e	NA	NA	GSM5604506
FALSE	e	NA	NA	GSM5604507
FALSE	e	NA	NA	GSM5604508
FALSE	e	NA	NA	GSM5604509
FALSE	e	NA	NA	GSM5604510
FALSE	e	NA	NA	GSM5604511
FALSE	e	NA	NA	GSM5604512
FALSE	e	NA	NA	GSM5604513
FALSE	e	NA	NA	GSM5604514
FALSE	e	NA	NA	GSM5604515
FALSE	e	NA	NA	GSM5604516
FALSE	e	NA	NA	GSM5604517
FALSE	e	NA	NA	GSM5604518
FALSE	e	NA	NA	GSM5604519
FALSE	e	NA	NA	GSM5604520
FALSE	e	NA	NA	GSM5604521
